5124754;1;25 jaar! : de brillen van John Lennon;;;;
5124882;1;Weekend-editie of Terror VI;;;;
5124883;1;Weekend-editie of Terror VI;;;;
5124884;1;Weekend-editie of Terror VII;;;;
5124885;1;Weekend-editie of Terror VII;;;;
5124886;1;Weekend-editie of Terror VIII;;;;
5124887;1;De A.V.B. in woord en beeld : een herinnering aan het seizoen 1924-1925;;;;
5371833;1;Dl. 1. Oktober 70 : Opstand der Bataven : 100 v Chr.-400 / tekst: Geert Mak;2005;;;
5371848;1;Dl. 14. 6 maart 1818: oprichting van de Maatschappij van Weldadigheid / tekst: Paul Brood;2005;;;
5546886;1;Joop de Boer in Berlijn / Marga E.M. Breij;2008;;;
7403479;1;"1894-1901 / Hans Fidom, eindred. ; redactieraad: Hans Fidom (eindred.) ... et al. ; red.: Richard de Beer ... et al.";2008;;;
7525449;1;De Hollandsche bodebus : inventarisatie van bodebussen van gemeenten en waterschappen in Noord- en Zuid-Holland / M. Agterberg;1980;Schipluide;Gemeente Schipluiden];
7928152;1;Poerimnummer;2008;;;
20317086;1;Tekst;1998;;;
20317088;1;Selectie van zijn prenten;1998;;;
22756033;1;"Ik gaf voor Mokum, als het moest, m'n laatste kwartje / tekst: P. Cirkel ; muziek: Jack Bulterman";;;;
22781646;1;De bokswedstrijd : verslag van een jordaanmoeder aan haar dochter;;;;
22781779;1;Ik hou van jou mooi Amsterdam / tekst en muziek: Willy Rex;;;;
22781783;1;Ik wil op mijn knie�n naar Mokum toe / tekst en muziek: Ger Rensen, Ted Powder;;;;
22781794;1;"Scheint der Mond auf Amsterdam : Walzerlied / Worte: Charles Berndt ; Musik: Hans Zeisner";;;;
23261026;1;Pater Hendrik Jan Roemel�: 'Het eiland Marken voorheen en thans' / J.H.A. Ringeling;1965;;;
24779321;1;"Leidsestraat / Tekst: Stan Haag ; muziek: Gerard Meyer";1961;;;
24781227;1;"Kijk me nog eenmaal an / tekst: Pi V�riss ; muziek: Wim Poppink";;;;
24781259;1;"Amsterdam / Tekst: Alexander de Haas ; muziek: Max Tak";;;;
25672075;1;Beuren en verheffen : stijlkamers voor het Stedelijk / Jeroen Goudeau;2011;;;
28002510;1;Kaart van Amsterdam: Centrum. Voor afbeeldingen van vijf kaarten, centrum, west, zuid, oost en noord:  zie 10035/1980;;;;
28002538;1;Kaart van Amsterdam: Centrum;;;;
28809406;1;De schijnheilige vrouw / T. Asselyn;1691;Amsterdam;J. Lescailje;
60907570;1;Wetten voor het zeemans-kollegie: Zeemans Hoop, en Reglement van het weldadig Zeemans-Fonds, te Amsterdam;1825;Amsterdam;;
664650;2;Orde van den dienst bij den dank- en bidstond ter gelegenheid van het voorgenomen huwelijk van H.K.H. Prinses Juliana met Z.H. Prins Bernhard van Lippe-Biesterfeld te houden op woensdag 24 Thebet 5697 / 6 Januari 1937 des avonds te 8 1/2 uur.;1937;Amsterdam;Joachimsthal;12 pagina's
775284;2;Amsterdamsch � jemeny! ter gelegenheid van het hoogstsmartelyk verlies van den waereldberoemden acteur J. Punt, thans Rotterdamsch acteur;1773;S.l.;s.n.;
775331;2;Verzaameling van een drie-entwintig-tal differente gedichten, ter gelegenheid van de ongelukkige brand ontstaan op Maandag den XIde Mey 1772 in den Amsteldamsche schouwburg ....;1772;Amsterdam;F.H. Demter;
775335;2;Aan den uitmuntende en zeer geleerde heer, den heer Joh. Christ. Mohr, op zyn zeedig antwoord aan den heer B.;1772;S.l.;s.n.;
775381;2;De juichende schouwburg : zinnebeeldig divertissement / [Lucas Pater];1763;Amsteldam;Izaak Duim;
798847;2;Krantenartikelen over Amsteldijk -  August Alleb�plein;;;;
1858936;2;Lentezangen, verzameld door G. van Hees en J.G. van Herwaarden;1921;Groningen/Den Haag;J.B. Wolters;
3308609;2;Joan Blaeus worsteling met de Waterlandse steden / Jan W.H. Werner;2007;;;
5371834;2;Dl. 2. 5 juni 754 : Bonifatius te Dokkum vermoord : 400-925 / tekst: Ben Speet;2005;;;
